MMS Id,Author,Creator,Language,Language Code,Material Type,Place of Publication - City,Place of Publication - Country,Place of Publication - State,Publication Date,Publication Place,Publisher,Subjects,Title,Author (contributor),Requests
9923246163604107,"Sewall, Thomas, 1786 or 1787-1845.","Sewall, Thomas",english,eng,Book,,United States,District of Columbia,1828,Washington :,Printed by Duff Green,Medicine.; Physicians--Conduct of life.,"A charge delivered to the graduating class of the Columbian College, D.C. at the medical commencement, March 22, 1827 /",Columbian College in the District of Columbia.,0
9926765353604107,"Baxter, Richard, 1615-1691.","Baxter, Richard",english,eng,Book,,United Kingdom,England,1673,"London,",Robert White for Nevill Simmons,Christian life--Early works to 1800.; Christian life.; Early works.,"A Christian directory, or, A summ of practical theologie, and cases of conscience ... In four parts ...",Columbian College in the District of Columbia. Library. former owner.,0
9926736973604107,"Emmons, Nathanael, 1745-1840.","Emmons, Nathanael",English,eng,Book,,United States,Massachusetts,1813,Boston :,Printed by Samuel T Armstrong numbers 50 Cornhill,"Sermons, American.; Sermons.","A collection of sermons : which have been preached on various subjects, and published at various times /",Columbian College in the District of Columbia. Library. former owner.,1
9926444843604107,"Erskine, Ralph, 1685-1752.","Erskine, Ralph",English,eng,Book,,United States,Massachusetts,1802,Newburyport [Mass.] :,Printed by Angier March,"Church of Scotland--Sermons.; Sermons, Scottish--18th century.",A collection of sermons on several subjects /,"Columbian College in the District of Columbia. Library. former owner.; Bradbury, Thomas, 1677-1759.",1
9926488313604107,"Destutt de Tracy, Antoine Louis Claude, comte, 1754-1836.","Destutt de Tracy, Antoine Louis Claude",English,eng,Book,,United States,Pennsylvania,1811,"Philadelphia,",Printed by William Duane No 98 Market Street,"Montesquieu, Charles de Secondat,--baron de,--1689-1755.--De l'esprit des lois.; De l'esprit des lois (Montesquieu, Charles de Secondat, baron de); Political science.",A commentary and review of Montesquieu's Spirit of laws.,"Columbian College in the District of Columbia. Library. former owner.; Jefferson, Thomas, 1743-1826.; Helvétius, 1715-1771.; Condorcet, Jean-Antoine-Nicolas de Caritat, marquis de, 1743-1794.",0
9926445463604107,"Luther, Martin, 1483-1546.","Luther, Martin",English,eng,Book,,United Kingdom,England,1810,London :,Printed for Mathews and Leigh,Bible. Galatians Commentaries.; Bible. Galatians.; Commentaries.,A commentary on St. Paul's epistle to the Galatians /,"Columbian College in the District of Columbia. Library. former owner.; Middleton, Erasmus, 1739-1805.; Luther, Martin, 1483-1546.",1
9926727683604107,"Patrick, Simon, 1626-1707.","Patrick, Simon",English,eng,Book,,United Kingdom,England,1699,"London,",Printed for Ri Chiswell,Bible. Numbers Commentaries.; Bible. Numbers.; Commentaries.,"A commentary upon the fourth book of Moses, called Numbers.",Columbian College in the District of Columbia. Library. former owner.,1
9926727973604107,"Whelpley, Samuel, 1766-1817.","Whelpley, Samuel",English,eng,Book,,United States,Pennsylvania,1808,"Burlington, (Philadelphia.",(printed by Reynolds and Palmer); David Allinson,"History--Outlines, syllabi, etc.; History.; Outlines and syllabi.","A compend of history, from the earliest times, comprehending a general view of the present state of the world, with respect to civilization, religion, and government; and a brief dissertation on the importance of historical knowledge.","Columbian College in the District of Columbia. Library. former owner.; Reynolds and Palmer, Printer, 1808.",1
9926734823604107,"Lord, Eleazar, 1788-1871.","Lord, Eleazar",English,eng,Book,,United States,Massachusetts,1813,"Boston,",ST Armstrong,Missions--History.; Missions.; Gold tooled leather (Binding); Stained leather (Binding); Bookplates (Provenance)--Library rules.; Fillet tools (Binding); History.; Leather bindings (Binding); Lettering pieces (Binding); Library copies (Provenance); Publishers' advertisements--Massachusetts--Boston.; Sprinkled edges (Binding),"A compendious history of the principal Protestant missions to the heathen,",Columbian College in the District of Columbia. Library. former owner.,2
9923074353604107,"Ostervald, Jean Frédéric, 1663-1747.","Ostervald, Jean Frédéric",English,eng,Book,,United States,Connecticut,1788,"Hartford,",printed by N Patten,Christianity.,"A compendium of Christian theology,","Columbian College in the District of Columbia. Library. former owner.; McMains, John.",1
9925129333604107,"Willard, Samuel, 1640-1707.","Willard, Samuel",English,eng,Book,,United States,Massachusetts,1726,"Boston, in New-England :",Printed by B Green and S Kneeland for B Eliot and D Henchman and sold at their shops,"Willard, Samuel,--1640-1707.; Willard, Samuel,--1640-1707; Westminster Assembly--(1643-1652).--Shorter catechism.; Shorter catechism (Westminster Assembly); Congregational churches--Sermons--Early works to 1800.; Sermons, American--Early works to 1800.; Congregational churches.; Sermons, American.; Early works.; Sermons.","A compleat body of divinity : in two hundred and fifty expository lectures on the Assembly's Shorter catechism : wherein the doctrines of the Christian religion are unfolded, their truth confirm'd, their excellence display'd, their usefulness improv'd, contrary errors and vices refuted and expos'd, objections answer'd, controversies settled, cases of conscience resolv'd; and a great light thereby reflected on the present age /","Columbian College in the District of Columbia. Library. former owner.; American Imprint Collection (Library of Congress); Sewall, Joseph, 1688-1769.; Prince, Thomas, 1687-1758.",0
9926157753604107,"Smollett, T. 1721-1771. (Tobias),","Smollett, T.",English,eng,Book,,United Kingdom,England,1758-60.,"London,",Printed for J Rivington and J Fletcher at the Oxford-Theatre,Great Britain--History.; Grande-Bretagne--Histoire.; Great Britain.; History.,"A Complete history of England, from the descent of Julius Caesar, to the Treaty of Aix la Chapelle, 1748. Containing the transactions of one thousand eight hundred and three years.",Columbian College in the District of Columbia. Library. former owner.,3
9926752143604107,"Howel, Laurence, 1664?-1720.","Howel, Laurence",English,eng,Book,,United States,Pennsylvania,[1807],Philadelphia :,WW Woodward,Bible History of Biblical events.; Bible.; History of Biblical events.,"A complete history of the Holy Bible : as contained in the Old and New Testaments ; including also the ocurrences of four hundred years from the last of the prophets to the birth of Christ, and the life of our Blessed Saviour and his apostles, and c with copious notes, critical and explanatory, practical and devotional /","Columbian College in the District of Columbia. Library. former owner.; Burder, George, 1752-1832.",1
9922928383604107,"Fristoe, William, 1742?-1828.","Fristoe, William",English,eng,Book,,United States,Virginia,1808,Staunton [Va.] :,Printed by William Gilman Lyford,Ketocton Baptist Association--History.; Ketocton Baptist Association.; Primitive Baptists--Virginia--History.; Primitive Baptists.; Virginia.; History.,"A concise history of the Ketocton Baptist Association : wherein a description is given of her constitution, progress and increase, the intention in associating, the doctrines holden by her, reasons for the names of regular and separate Baptists, an account of the death of sundries, constitution and order of churches, the manner of administering baptism, of the ordination of ministers, bounds of the association, the doctrines preached, providing for the ministry, annual meetings, the number of ministers, of persecution, the mode of redress, of circular letters, objections to the Baptists replied to of good works, and of her civil policy /",Columbian College in the District of Columbia. Library. former owner.,2
9925290703604107,"Crull, Jodocus, -1713?","Crull, Jodocus",English,eng,Book,,United Kingdom,England,1705,"London,",Printed for A and J Churchill and Richard Basset,Europe--History.; Europe.; History.,"A continuation of Samuel Puffendorf's Introduction to the history of the principal kingdoms and states of Europe, brought down to this present year.","Columbian College in the District of Columbia. Library. former owner.; Pufendorf, Samuel, Freiherr von, 1632-1694.",1
9923363393604107,"Ely, Ezra Stiles, 1786-1861.","Ely, Ezra Stiles",English,eng,Book,,United States,New York,1811,"New York,",Published by S Whiting Paul and Thomas printers,"Hopkins, Samuel,--1721-1803.; Calvinism.; Blind tooled leather (Binding); Bookplates (Provenance); Fillet tools (Binding); Half bindings (Binding); Library copies (Provenance); Marbled papers (Binding)",A contrast between Calvinism and Hopkinsianism.,Columbian College in the District of Columbia. Library. former owner.,0
9925493913604107,"Burnet, Gilbert, 1697 or 1698-1746.","Burnet, Gilbert",English,eng,Book,,United Kingdom,England,1737,London,Printed for A Bettesworth and C Hitch,Church of England--Sermons.; Church of England.; Sermons.,A defence of natural and revealed religion: being an abridgment of the sermons preached at the lecture founded by the Honble Robert Boyle esq.; By Dr. Bentley [and others] ... With a general index.,Columbian College in the District of Columbia. Library. former owner.,2
9925494543604107,"Conybeare, John, 1692-1755.","Conybeare, John",English,eng,Book,,United Kingdom,England,MDCCXXXII [1732],London :,Printed for S Wilmot and sold by James and John Knapton R Knaplock W Innys T Astley J Crownfield J Battley C Hitch S Birt R Williamson and T Osborn,"Tindal, Matthew,--1653?-1733.--Christianity as old as the creation.; Apologetics--Early works to 1800.; Apologetics--History--18th century.; Revelation--Early works to 1800.","A defence of reveal'd religion : against the exceptions of a late writer, in his book, intituled, Christianity as old as the creation, andc. /",Columbian College in the District of Columbia. Library. former owner.,1
9926738283604107,"Fénelon, François de Salignac de La Mothe-, 1651-1715.","Fénelon, François de Salignac de La Mothe-",English,eng,Book,,United States,Pennsylvania,1811,"Harrisburgh,",Printed and sold by William Gillmor,1811.; God.; Ontology.,"A demonstration of the existence and attributes of God, drawn from the knowledge of nature, from proofs purely intellectual, and from the idea of the Infinite Himself.",Columbian College in the District of Columbia. Library. former owner.,1
9926454323604107,"Priestley, Joseph, 1733-1804.","Priestley, Joseph",English,eng,Book,,United States,Pennsylvania,1803,Philadelphia :,Printed by Akerman et Hancock for Mathew Carey,"Chronology, Historical--Charts, diagrams, etc.; Biography.; Chronology, Historical.; Charts, diagrams, etc.","A description of a system of biography : with a catalogue of all the names inserted in it, and the dates annexed to them /","Jefferson Exhibit Collection (Library of Congress); Columbian College in the District of Columbia. Library. former owner.; Force, Peter, 1790-1868, former owner.; Bailey, John, 1786-1835, inscriber.",1
9926521123604107,"Ure, Andrew, 1778-1857.","Ure, Andrew",English,eng,Book,,United States,Pennsylvania,1821,Philadelphia :,Desilver,Chemistry--Dictionaries.; Mineralogy--Dictionaries.; Chemistry.; Mineralogy.; Chemistry--Dictionary--English.; Dictionaries.,"A dictionary of chemistry, on the basis of Mr. Nicholson's : in which the principles of the science are investigated anew, and its applications to the phenomena of nature, medicine, mineralogy, agriculture, and manufactures, detailed /","Columbian College in the District of Columbia. Library. former owner.; Nicholson, William, 1753-1815.; Miller, Casper Otto, 1857-1945, former owner.; Henkel, C. C. b. 1835, former owner. (Casper Coiner),; Hare, Robert, 1781-1858.; Bache, Franklin, 1792-1864.",0
9926166463604107,"Johnson, Samuel, 1709-1784.","Johnson, Samuel",English,eng,Book,,United Kingdom,England,1773,"London,",Printed by W Strahan for W Strahan J and F Rivington,English language--Dictionaries.; English language.; Dictionaries.,A dictionary of the English language:,Columbian College in the District of Columbia. Library. former owner.,0
9926724663604107,"Johnson, Samuel, 1709-1784.","Johnson, Samuel",English,eng,Book,,"No place, unknown, or undetermined",,1802,"Montrose,",Printed by D Buchanan sold by J Fairbairn,English language--Dictionaries.; English language.; Dictionaries.,"A dictionary of the English language: in which the words are deduced from their originals, explained in their different meanings, and authorized by the names of the writers in whose works they are found.",Columbian College in the District of Columbia. Library. former owner.,0
9926278863604107,"Marsden, William, 1754-1836.","Marsden, William",English,eng,Book,,United Kingdom,England,1812,London :,Printed for the author by Cox and Baylis,English language--Dictionaries--Malay.; Malay language--Dictionaries--English.; English language.; Malay language.; Maleis.; Dictionaries.,"A dictionary of the Malayan language in two parts, Malayan and English and English and Malayan /",Columbian College in the District of Columbia. Library. former owner.,0
9922944303604107,"Burch, Samuel, compiler.","Burch, Samuel",English,eng,Book,,United States,District of Columbia,1823,City of Washington :,Printed by James Wilson,"Building laws--Washington (D.C.); Law--Washington (D.C.)--Digests.; Law reports, digests, etc.--Washington (D.C.); Building laws.; Law.; Washington (D.C.); Digests.; Law digests.","A digest of the laws of the corporation of the city of Washington, to the first of June, 1823 : with an appendix, containing the acts of cession from Maryland and Virginia, the laws of the United States, relating to the District of Columbia, the building regulations of said city, andc. /","Mattingly, Wm. F. 1837-1918, former owner (William Francis),; Columbian University, former owner; Columbian College in the District of Columbia, former owner; District of Columbia, enacting jurisdiction.",0
9925496413604107,"Clarke, Samuel, 1675-1729.","Clarke, Samuel",English,eng,Book,,United Kingdom,England,1732,"London,",J and J Knapton,1700 - 1799; Apologetics--Early works to 1800.; Apologetics--History--18th century.; Apologetics.; God.; Early works.; History.,"A discourse concerning the being and attributes of God, the obligations of natural religion, and the truth and certainty of the Christian revelation ...",Columbian College in the District of Columbia. Library. former owner.,1
9925554293604107,"Sherlock, William, 1641?-1707.","Sherlock, William",English,eng,Book,,United Kingdom,Scotland,1754,Edinburgh :,Printed by T Lumisden and Company for W Gray and W Peter,Providence and government of God.,"A discourse concerning the divine providence, under the following heads, viz ... /",Columbian College in the District of Columbia. Library. former owner.,1
9926739513604107,"Campbell, George, 1719-1796.","Campbell, George",English,eng,Book,,United Kingdom,Scotland,1812,Edinburgh :,Creech Hill Ogle,"Hume, David,--1711-1776.--Essay on miracles.; Church of Scotland--Sermons.; Miracles.","A dissertation on miracles : containing an examination of the principles advanced by David Hume, Esq. in an essay on miracles : with a correspondence on the subject by Mr. Hume, Dr. Campbell, and Dr. Blair, to which are added sermons and tracts /",Columbian College in the District of Columbia. Library. former owner.,1
9926815073604107,"Farmer, Hugh, 1714-1787.","Farmer, Hugh",English,eng,Book,,United Kingdom,England,1771,"London,",Printed for T Cadell and J Buckland,Miracles--Early works to 1800.; Miracles.; Early works.,"A dissertation on miracles, designed to shew that they are arguments of a divine interposition, and absolute proofs of the mission and doctrine of a prophet.",Columbian College in the District of Columbia. Library. former owner.,0
9925129753604107,"Smith, Ethan, 1762-1849.","Smith, Ethan",English,eng,Book,,United States,Massachusetts,1814,Boston :,Printed and sold by Samuel T Armstrong,Bible. Daniel Prophecies.; Bible. Revelation Prophecies.; Bible. Daniel.; Bible. Revelation.; Antichrist.; Prophecies.,"A dissertation on the prophecies relative to Antichrist and the last times : exhibiting the rise, character, and overthrow of that terrible power : and a treatise on the seven apocalyptic vials /",Columbian College in the District of Columbia. Library. former owner.,0
9925533123604107,"Maseres, Francis, 1731-1824.","Maseres, Francis",english,eng,Book,,United Kingdom,England,1758,London :,Printed by Samuel Richardson and sold by Thomas Payne,"Machin, John,--m. 1751.; Circle-squaring--Early works to 1800.; Equations, Theory of--Early works to 1800.; Équations, Théorie des.; Mathématiques--Ouvrages avant 1800.; Quadrature du cercle.; Circle-squaring.; Equations, Theory of.; Early works.","A dissertation on the use of the negative sign in algebra : containing a demonstration of the rules usually given concerning it, and shewing how quadratic and cubic equations may be explained, without the consideration of negative roots : to which is added, as an appendix, Mr. Machin's quadrature of the circle /","Columbian College in the District of Columbia. Library. former owner.; Machin, John, -1751.",0
9926746793604107,"Faber, George Stanley, 1773-1854.","Faber, George Stanley",english,eng,Book,,United States,Massachusetts,1809,Boston:,Published by William Andrews TB Wait and Company printers,Bible. Old Testament Prophecies.; Bible. Old Testament.; Jews--Restoration.; Prophecies.,"A general and connected view of the prophecies, relative to the conversion, restoration, union, and future glory of the houses of Judah and Israel; the progress, and final overthrow, of the antichristian confederacy in the land of Palestine; and the ultimate general diffusion of Christianity.",Columbian College in the District of Columbia. Library. former owner.,1
9923953423604107,"Carey, William, 1761-1834.","Carey, William",english,eng,Book,,India,,1815,Serampore [India] :,Printed at the Mission Press,Bengali language--Grammar.,A grammar of the Bengalee language /,Columbian College in the District of Columbia. Library. former owner.,0
9926454483604107,"Wanostrocht, N. 1745-1812. (Nicolas),","Wanostrocht, N.",english,eng,Book,,United States,Massachusetts,[1819],Boston :,Printed by JHA Frost for West Richardson and Lord numbers 75 Cornhill,1800 - 1869; French language--Grammar--1800-1869.; French language--Grammar.,A grammar of the French language : with practical exercises /,Columbian College in the District of Columbia. Library. former owner.,0
9926738343604107,"Marsden, William, 1754-1836.","Marsden, William",english,eng,Book,,United Kingdom,England,1812,London :,(Cox and Baylis); The Author,Malay language--Grammar.; Maleis.,A grammar of the Malayan language /,Columbian College in the District of Columbia. Library. former owner.,0
9926469443604107,"Carey, William, 1761-1834.","Carey, William",english,eng,Book,,India,,1812,Serampore :,Printed at the Mission-Press,Panjabi language--Grammar.,A grammar of the Punjabee language /,Columbian College in the District of Columbia. Library. former owner.,0
9926774923604107,,"Griesbach, Jo. Jac.","Greek, Modern (1453- )",gre,Book,,United States,Massachusetts,1814,"Andover [Mass.],",Printed by Flagg and Gould,Bible. Gospels Commentaries.; Bible. Gospels.; Gold tooled leather (Binding); Stained leather (Binding); Commentaries.; Fillet tools (Binding); Leather bindings (Binding); Lettering pieces (Binding),"A harmony in Greek of the Gospels,","Columbian College in the District of Columbia. Library. former owner.; Stuart, Moses, 1780-1852, compiler.; Newcome, William, 1729-1800.; Griesbach, Jo. Jac., 1745-1812.",1
9922151943604107,"Benedict, David, 1779-1874.","Benedict, David",English,eng,Book,,United States,Rhode Island,1824,Providence: :,John Miller printer Sold by Lincoln and Edmands Loring and Richardson and Lord Boston Hutchens Providence Wilder and Campbell New-York Woodward and Son Philadelphia,"Asbury, Francis,--1745-1816--Portraits.; Backus, Isaac,--1724-1806--Portraits.; Edwards, Jonathan,--1703-1758--Portraits.; Muhlenberg, Henry,--1753-1815--Portraits.; Rodgers, John,--1727-1811--Portraits.; Seabury, Samuel,--1729-1796--Portraits.; Asbury, Francis,--1745-1816.; Backus, Isaac,--1724-1806.; Edwards, Jonathan,--1703-1758.; Muhlenberg, Henry,--1753-1815.; Rodgers, John,--1727-1811.; Seabury, Samuel,--1729-1796.; Religions.; Intaglio prints.; Leather bindings (Binding); Portraits.","A history of all religions, : as divided into paganism, Mahometanism, Judaism and Christianity, with an account of literary and theological institutions: and missionary, Bible, tract and Sunday school societies; with a general list of religious publications; accompanied with a frontispiece of six heads. /","Woodward & Son, bookseller.; Wilder & Campbell, bookseller.; Richardson & Lord, bookseller.; Columbian College in the District of Columbia. Library, former.; Annin & Smith, engraver.; Miller, John, d. 1848, printer.; Hutchens, John, 1794?-1833, bookseller.",0
9926728313604107,"Latrobe, Christian Ignatius, 1758-1836.","Latrobe, Christian Ignatius",English,eng,Book,,United Kingdom,England,1821,London :,LB Seeley,Missions--South Africa.; Missions.; Travel.; South Africa--Description and travel.; South Africa.,"A journal of a visit to South Africa : with some account of the missionary settlements of the United Brethren, near the Cape of Good Hope /",Columbian College in the District of Columbia. Library. former owner.,1
9926759333604107,"Fraser, Alexander, of Kirkhill.","Fraser, Alexander",English,eng,Book,,United States,Pennsylvania,1802,Philadelphia :,Printed for D Hogan from the Press of John Bioren,Bible Prophecies.; Bible.; Prophecies.,"A key to the prophecies of the Old and New Testaments : which are not yet accomplished: containing, I. Rules for their arrangement. II. Observations on their dates. III. A general view of the events foretold in them. /",Columbian College in the District of Columbia. Library. former owner.,1
9922923133604107,"Henderson, Thomas, 1789-1854.","Henderson, Thomas",English,eng,Book,,United States,District of Columbia,1825,Washington :,Printed by Gales and Seaton,"Medicine.; Education, Medical--Lectures.; Medicine (Practice of, Lectures on)","A lecture delivered at the opening of the medical department of the Columbian College, introductory to a course on the theory and practice of medicine /",Columbian College in the District of Columbia. Medical Department.,0
9926277123604107,"Browne, Peter, approximately 1666-1735.","Browne, Peter",English,eng,Book,,Ireland,,1697,Dublin :,printed by Joseph Ray in Essex street for John North in Skinner row,"Toland, John,--1670-1722.--Christianity not mysterious.; Christianity not mysterious (Toland, John); Deism.","A letter in answer to a book entitled, Christianity not mysterious : as also to all those who set up for reason and evidence in opposition to revelation and mysteries /",Columbian College in the District of Columbia. Library. former owner.,0
9926754523604107,"Veil, Charles Marie de, -1690.","Veil, Charles Marie de",english,eng,Book,,United Kingdom,England,1685,London :,Printed for Francis Pearse at the Blew Anchor at the West End of St Pauls,Bible. Acts Commentaries.; Bible. Acts.; Commentaries.,A literal explanation of the Acts of the holy apostles /,"Columbian College in the District of Columbia. Library. former owner.; Spanheim, Friedrich, 1632-1701.",1
9926732893604107,"Brande, William Thomas, 1788-1866, author.","Brande, William Thomas",english,eng,Book,,United States,New York,1821,New-York :,George Long,Chemistry.; Chemical Phenomena.,"A manual of chemistry : containing the principal facts of the science, arranged in the order in which they are discussed and illustrated in the lectures at the Royal Institution of Great Britain /","Columbian College in the District of Columbia. Library. former owner.; United States. Department of State, former owner.; MacNeven, William James, 1763-1841, editor.",0
9922147233604107,"Callcott, John Wall, 1766-1821.","Callcott, John Wall",english,eng,Book,,United States,Massachusetts,[1810],Boston:,Published by West and Blake and Manning and Loring Manning and Loring printers,"Music--Handbooks, manuals, etc.; Music; Handbooks and manuals.","A musical grammar, in four parts. I. Notation, II. Melody, III. Harmony, IV. Rhythm.",Columbian College in the District of Columbia. Library. former owner.,0
9926738503604107,"Coxe, Richard S. 1792-1865. (Richard Smith),","Coxe, Richard S. ",english,eng,Book,,United States,New Jersey,1813,"Burlington, N.J.,",D Allinson and Company,English language--Dictionaries.; English language.; Dictionaries.,"A new critical pronouncing dictionary of the English language ... To which will be prefixed, Mr. Walker's principles of English pronunciation ... Compiled from authors of the most approved reputation: with considerable additions.","Columbian College in the District of Columbia. Library. former owner.; Walker, John, 1732-1807.",0
9926806463604107,"Bryant, Jacob, 1715-1804.","Bryant, Jacob",English,eng,Book,,United Kingdom,England,1807,"London,",Printed for J Walker,"History, Ancient.; Mythology.","A new system; or, An analysis of antient mythology ...",Columbian College in the District of Columbia. Library. former owner.,1
9925560503604107,,R. H.,English,eng,Book,,United Kingdom,England,1702,London :,Printed for R Smith,"Bible. Epistles of Paul Commentaries.; Bible. Epistles of Paul Paraphrases, English.; Bible. Epistles of Paul.; Commentaries.; Paraphrases.",A paraphrase and annotations upon all St. Paul's epistles. /,"Columbian College in the District of Columbia. Library. former owner.; Walker, Obadiah, 1616-1699.; Fell, John, 1625-1686.; Allestree, Richard, 1619-1681.; R. H., 1609-1678.",1
9926938013604107,"Hammond, Henry, 1605-1660.","Hammond, Henry",English,eng,Book,,United Kingdom,England,1659,London :,Printed by J Flesher for Richard Royston at the Angel in Ivie-lane,"Bible. New Testament Commentaries.; Bible. New Testament Paraphrases, English.; Bible. New Testament.; Commentaries.; Paraphrases.",A paraphrase and annotations upon all the books of the New Testament : briefly explaining all the difficult places thereof /,Columbian College in the District of Columbia. Library. former owner.,0
9926186873604107,,"Clarke, Samuel",English,eng,Book,,United Kingdom,England,1795,London :,Printed for the booksellers in Cambridge Oxford and London,"Bible. Gospels Harmonies, English.; Bible. Gospels.; Harmonies.","A paraphrase on the four evangelists : wherein for the clearer understanding of the sacred history, the whole text and paraphrase are printed in separate columns over against each other, with critical notes on the more difficult passages, very useful for families, in two volumes /","Columbian College in the District of Columbia. Library. former owner.; Clarke, Samuel, 1675-1729.",2
9926469463604107,Stewarton.,Stewarton.,English,eng,Book,,United States,Connecticut,1807,Middletown (Conn.),Printed by Alsop Riley and Alsop,1789 - 1815; Travel.; Europe--Description and travel.; Europe--History--1789-1815.; Europe.; History.; Travel literature--19th century.,"A picture of the empire of Buonaparte, and his federate nations; or, The Belgian traveller: being a tour through Holland, France and Switzerland, during the years 1804-5. In a series of letters from a nobleman to a minister of state.",Columbian College in the District of Columbia. Library. former owner.,1
9926147393604107,"Martin, Benjamin, 1705-1782.","Martin, Benjamin",english,eng,Book,,United Kingdom,England,1765,"London,",Printed for the author,Science--Early works to 1800.; Science.; Early works.,"A plain and familiar introduction to the Newtonian experimental philosophy, in six sections; illustrated by six copper-plates. Designed for the use of such gentlemen and ladies as would acquire a competent knowledge of this science without mathematical learning; and more especially those who have, or may attend the author's course of lectures and experiments on these subjects.",Columbian College in the District of Columbia. Library. former owner.,0
9926750593604107,"Ewing, John, 1732-1802.","Ewing, John",english,eng,Book,,United States,Pennsylvania,1809,Philadelphia :,Hopkins and Earle,Astronomy.; Physics.,A plain elementary and practical system of natural experimental philosophy : including astronomy and chronology /,Columbian College in the District of Columbia. Library. former owner.,0
